loc,length,bug type,approach
466,2,Unhandled-Exceptions,code snippet injection
291,9,Unhandled-Exceptions,code snippet injection
270,9,Unhandled-Exceptions,code snippet injection
249,3,Unhandled-Exceptions,code snippet injection
224,3,Unhandled-Exceptions,code snippet injection
211,2,Unhandled-Exceptions,code snippet injection
195,9,Unhandled-Exceptions,code snippet injection
179,8,Unhandled-Exceptions,code snippet injection
120,3,Unhandled-Exceptions,code snippet injection
27,3,Unhandled-Exceptions,code snippet injection
11,9,Unhandled-Exceptions,code snippet injection
5,5,Unhandled-Exceptions,code snippet injection
164,3,Unhandled-Exceptions,code snippet injection
153,9,Unhandled-Exceptions,code snippet injection
142,9,Unhandled-Exceptions,code snippet injection
137,3,Unhandled-Exceptions,code snippet injection
81,2,Unhandled-Exceptions,code snippet injection
71,3,Unhandled-Exceptions,code snippet injection
