loc,length,bug type,approach
466,2,Unhandled-Exceptions,code snippet injection
249,3,Unhandled-Exceptions,code snippet injection
224,3,Unhandled-Exceptions,code snippet injection
211,2,Unhandled-Exceptions,code snippet injection
120,3,Unhandled-Exceptions,code snippet injection
27,3,Unhandled-Exceptions,code snippet injection
5,5,Unhandled-Exceptions,code snippet injection
164,3,Unhandled-Exceptions,code snippet injection
137,3,Unhandled-Exceptions,code snippet injection
81,2,Unhandled-Exceptions,code snippet injection
71,3,Unhandled-Exceptions,code snippet injection
